"";"agent_id";"agent_file_name";"net_payoff"
"1";1;"Cooperate1 - Copy (4).R";1964
"2";2;"Cooperate1 - Copy (2).R";1876
"3";3;"myDefector.R";2765
"4";4;"TitForTat1.R";3239
"5";5;"Cooperate1 - Copy (5).R";1936
"6";6;"AgentDEF2.R";3553
"7";7;"ForgivingTitForTat1.R";3147
"8";8;"Gradual.R";3004
"9";9;"myDefector.R";2795
"10";10;"Cooperate1.R";1884
"11";11;"AgentDEF.R";3436
"12";12;"SneakyTitForTat1.R";3447
"13";13;"Detective1.R";3233
"14";14;"Group 16 Agent.R";3378
"15";15;"Cooperate1 - Copy.R";1964
"16";16;"Cooperate1 - Copy (3).R";1848
